country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,160,492,485,380,352,424,421,153,162,134,152,162,201,262,342,411,865,1000,1240,1340
Brazil,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,794,1150,1270,1010,590,429,298,356,361,241,197,242,551,1190,2150,3760,6790,8570,12k,16.9k
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8,24,61,43,12,18,37,30,45,66,63,73,56,51,17,24,44,76,81,116,120
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,0,10,10
Bhutan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,65,55,242,482,1110,1450,1640,1090,1010,1010,1010,99,157,190,223,277,400,390,413,411
Botswana,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,16,7,8,27,53,148,195,185,168,126,101,69,73,127,95,89,139,134
Central African Republic,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,353,657,832,1290,1840,2110,1330,1210,852,1500,1790,1900,7460,14.4k,10.6k,10.6k,13k,17.3k,16.1k,13.3k
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,20,22,18,35,44,59,55,9,5,0,5,23,55,334,54,78,79,88,107
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,10,10,13,20,16
Chile,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,199,513,309,197,81,83,127,128,178,170,117,63,66,98,149,200,350,514,1250,2100
China,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2k,19.8k,25.2k,21.3k,19.7k,19.4k,17.3k,15.5k,19.6k,18.3k,7730,11.4k,15.4k,24.8k,47.3k,57.7k,72.2k,89.5k,94.4k,104k,108k
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,785,1690,3290,4740,6350,6380,7420,6460,5260,6010,18.2k,11.2k,11k,13.4k,13.8k,18.6k,26.5k,22.9k,19.9k,34.2k
