country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,164k,0,0,0,0,0,0,0,0,0,0,0,145,40.3k,245k,199k,116k,51.1k,30.7k,21.6k,22.3k,22.2k,21.6k,22.2k,22k,19.8k,20.4k,21.1k,26.3k,27.6k,28.4k,229k,229k,230k,231k,231k,232k,232k,276k,932k,907k,855k,867k
Bulgaria,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,443,1050,1320,1430,382,241,542,1470,2980,3640,4050,4680,4390,4480,4810,5110,5380,5520,5680,2270,4310,11k,16.5k,17.8k,19.2k,19.9k,20.4k,21.2k
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,0,0,0,0,0,0,0,0,800,0,2360,50,150,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,139,165,199,289,294,310,246,270,255,262,251,256
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,59,0,8,47,58,78,98,98,0,0,0,0,0,0,0,0,0,27,27,36,14,12,7,9,8,14,10,25
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,40k,40k,65.6k,38.1k,32.7k,28k,22.5k,22.2k,10.6k,10.3k,7360,7250,7130,7010,6930,6900,6920,6880,6790,5270,5220,5230,5240,5260
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,29k,30.5k,50,75,261,453,581,612,631,719,718,683,643,602,578,587,594,572,599,919,1810,1650,2160,2230,2730,2920
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,7000,3120,7000,8180,9000,9000,10k,30.1k,30.1k,30.7k,30k,20.4k,8910,8860,8750,8530,8390,3480,2890,1250,1130,1050,861,732,624,488,358,277,230,134,78,27,21,10,34,0,0,29,29,29
Bolivia,,,,,,,,,,,,,,,,,,,,0,0,700,700,700,0,0,0,500,500,500,500,0,0,0,170,120,170,220,270,200,341,491,669,734,680,697,331,345,349,352,348,352,525,524,532,562,619,649,664,680,701,717,734,751,762,776,802,802,863,1160
Brazil,,,,,,,,,,,,,,,,,,,40k,40k,38k,37k,35.2k,34k,32k,30k,36k,35k,25k,24k,24k,5400,5400,5300,5300,5300,5280,5330,5330,5340,5390,5440,6200,2220,2050,2210,2260,2350,2370,2720,2880,3180,3190,3330,3450,3480,20.8k,3830,4220,4350,4470,4680,5190,7480,8700,9670,10.3k,11.3k,32.8k,59.1k
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,,,,,,,,,,,,,,,,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,,,,,,,,,,,,,,,,,3980,3600,4360,8890,4500,4500,2480,2400,2840,4810,19k,23.3k,1300,1290,1300,4600,4970,5680,4830,5300,2330,1260,1180,1050,497,517,503,266,211,280,2130,1290,3550,3580,2800,2830,2830,3100,3150,2460,3020,3020,2980,3310,2780,2770,2640,2130,2090,2120,2040,1110,637
Central African Republic,,,,,,,,,,,,,,3300,20.6k,43k,35k,23k,23k,27.1k,28k,22k,7000,5000,5000,0,0,0,1000,7000,4000,7450,6790,42k,46.3k,13k,4250,3150,2490,4280,12.2k,19k,44.1k,47.8k,33.9k,36.6k,38.5k,43k,49.3k,55.7k,49.2k,50.7k,44.8k,25k,24.6k,12.4k,7530,7420,27k,21.6k,16.7k,14k,14.3k,7690,7330,12.1k,10k,6650,7170,9080
Canada,169k,155k,107k,75.8k,52.6k,17.5k,46.3k,46.9k,47.9k,48.6k,44.5k,12.3k,10.9k,10.2k,9980,10.2k,9990,17.9k,19.3k,18.5k,17.2k,20.9k,13.4k,11.4k,16.3k,27.4k,29.5k,31.3k,57.9k,92.7k,96.4k,108k,121k,113k,92.2k,98.7k,105k,116k,136k,155k,171k,184k,183k,187k,152k,138k,125k,119k,123k,127k,129k,130k,133k,141k,147k,152k,176k,174k,169k,166k,165k,164k,160k,149k,136k,97.3k,105k,114k,102k,109k
