country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,18,0,16,156,84,33,43,17,8,5,16,0,0,34,34,242,157
Brazil,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,642,549,551,424,176,374,404,496,162,852,4640,1430,4630,11.2k,20.8k,35.5k,85.7k,153k,207k,203k
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,716,974,1080,1030,52,0,5,181,202,251,244,212,173,195,133,78,65,268,150,422
Central African Republic,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,3670,5350,3420,2750,1960,1900,1970,1450,1210,1210,2450,2600,2640,408,332,310,571,397,309,285
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2k,45.8k,52.8k,41.6k,27.3k,20.5k,23.6k,37.5k,54.2k,61.2k,51k,41.8k,32.6k,22.1k,16.7k,19.6k,23.9k,51.9k,78.8k,97.7k,85.4k
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5k,25.6k,28.1k,24.5k,18.6k,14.4k,12.4k,10.7k,17.2k,17.1k,12.9k,16.9k,21.7k,22.1k,20.8k,32.7k,30.8k,23.7k,14.8k,11.2k,6550
Chile,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,12,48,75,101,334,507,875,498,271,356,353,416,571,1060,3220,8460,12k,8520,8070
China,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,39,35,68,72,59,12,39,120,26,253,374,447,672,647,691,583,644,743
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240,2320,1140,1320,2100,2440,2300,1770,293,217,246,659,508,596,660,644,276,368,198,151,224
Cameroon,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,2580,5310,5680,6120,6770,4160,2150,2220,1310,2380,3290,3120,8320,11.7k,5360,3240,5770,8090,10.1k,6810
"Congo, Dem. Rep.",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,299,391,441,348,139,93,96,5,637,920,1130,1820,1450,1180,978,1320,807,5770,3190,1480
"Congo, Rep.",,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,2440,2750,3220,3230,3480,4290,4790,3250,4920,5520,3010,3320,2640,3190,4340,6670,7090,9180,14.4k,13.6k
Colombia,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,7,15,28,35,72,83,71,118,165,115,70,58,154,105,368,525,2850,9090,19.9k
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,2590,85,79,223,223,332,503,441,575,377,451,624,593,1750,3260,3630,7430,32.6k,87.5k,89.7k
Cuba,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,5,0,26,20,9,6,0,11,0,5,0,6,23,28,15,24,32,10
Cyprus,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,1860,2030,5070,10000,13.1k,12.5k,11.9k,8000,5000,5390,3040,2620,2630,2440,2210,3050,5220,10.3k,18.8k,20.5k
Czech Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5020,11.6k,7650,3740,1110,923,2870,2180,1420,1240,1030,909,566,292,459,654,769,799,1910,1630,1540
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2k,85.5k,164k,128k,86.1k,71.6k,52.8k,34k,33.3k,38.9k,51.9k,62.7k,85.5k,136k,226k,421k,587k,429k,369k,311k,243k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,464,455,1650,0,17,14,484,426,912,727,1900,3090,3790,3830,2640,8060,9360,10.5k,11.2k,10.8k
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6130,5570,4600,2020,820,500,436,537,485,1150,3330,1420,1540,1610,4270,2930,7000,4230,2680,1460,1330
Dominican Republic,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1760,1780,764,822,743,750,787,850,327,561,625
Algeria,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,110,0,0,0,299,935,1590,899,157,300,805,1720,1800,4860,6570,5700,6350,8910,1730,2120
Ecuador,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2490,2640,2550,1640,2470,5520,27.4k,33.9k,50.6k,49.9k,21.5k,14.6k,11.6k,11.6k,11.6k,24.5k,11.9k,17k,25k,26k
Egypt,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2k,15.6k,12.1k,5390,8740,11k,16.4k,14.9k,14.7k,13.4k,14.3k,18.9k,16.9k,23.1k,25.6k,38.1k,49.8k,56.6k,68.2k,69.8k,56.4k
